"Kermadec Sequence - Locatable Events",,,,,,,,,,,,
"From 2019/03/03 00:00:00 UTC to 2019/03/13 23:59:59 UTC",,,"P - S 30 sec @ GLKS",,,,,,,,,
"Date (UTC)","Arrival time on GLKZ","Event triggered autolocation Y/N","Artificial Event created by GHA","Event ID (if applicable)","Reached Mainland",MLv,mB,"Did USGS Locate Y/N","USGS Magnitude (mww)","Max Amplitude (Z) @ GLKZ","Max Amplitude (Z) @ HAZ",Comments
2019/03/06,19:43:20,No,No,N/A,Yes,4.16,N/A,No,N/A,,,"Not enough picks to commit but could get to sequence location"
2019/03/06,20:10:23,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,20:19:00,No,No,N/A,No,4.14,4.4,No,N/A,,,"Location tricky as overshadowed by event shortly afterwards, so not going to commit. In the region of the sequence"
2019/03/06,20:20:40,Yes,N/A,2019p175264,Yes,6.24,5.91,Yes,5.7,,,
2019/03/06,20:27:42,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,20:31:00,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,20:33:35,No,No,n/A,No,N/A,N/A,No,N/A,,,
2019/03/06,20:39:00,Yes,N/A,2019p175297,Yes,4.69,4.56,No,N/A,,,"Local event overlapping on mainland may have affected magnitude"
2019/03/06,20:53:20,No,Yes,2019p175328,Yes,4.25,N/A,No,N/A,,,
2019/03/06,20:58:40,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,21:24:15,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,21:28:45,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,21:39:30,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,21:43:35,Yes,N/A,2018p175420,Yes,5.27,5.12,Yes,5.1,,,
2019/03/06,21:58:24,No,,N/A,No,N/A,N/A,No,N/A,,,"One of three events in about 5 minutes"
2019/03/06,21:59:45,No,Yes,2019p175448,Yes,4.54,4.56,No,N/A,,,"Arrivals on mainland but difficult to pick as is event is the middle of three in quick succession and arrivals over lap. Committed this as is the largest of the three"
2019/03/06,22:01:20,No,No,N/A,No,N/A,N/A,No,N/A,,,"Arrivals on mainland but difficult to pick as is event is the last of three in quick succession and arrivals over lap. Best esimate of M is MLv4.78"
2019/03/06,22:08:15,,,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,22:15:50,Yes,N/A,2019p175481,Yes,4.99,4.75,No,N/A,,,
2019/03/06,22:45:15,No,No,N/A,No,N/A,N/A,No,N/A,,,"Events are overlapping on the mainland and not confident enough to discern phases. Best estimate of M is MLv 4.13 for the first and MLv 4.59 for the second"
2019/03/06,22:46:04,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,22:55:40,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,23:19:18,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,23:23:21,No,No,N/A,No,N/A,N/A,No,N/A,,,"Too many phase arrivals on mainland to be confident. Best estimate is MLv of 4.05"
2019/03/06,23:28:50,No,Yes,2019p175615,Yes,4.36,4.43,No,N/A,,,
2019/03/06,23:35:27,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,23:40:03,No,Yes,2019p175636,Yes,4.69,4.71,No,N/A,,,
2019/03/06,23:42:30,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/06,23:47:50,No,Yes,2019p175651,Yes,4.23,N/A,No,N/A,,,
2019/03/06,23:53:22,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,00:16:10,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,00:19:09,No,No,N/A,No,4.2,4,No,N/A,,,"Can only find the trace on 5 mainland stations"
2019/03/07,00:21:52,Yes,N/A,2019p175716,Yes,5.14,5.11,No,N/A,,,
2019/03/07,00:32:58,No,Yes,2019p175736,Yes,4.25,4.21,No,N/A,,,
2019/03/07,00:51:24,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,00:55:07,No,No,N/A,No,4.03,4.03,No,N/A,,,"Can only find on 4 mainland stations"
2019/03/07,01:14:15,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,01:31:00,No,No,N/A,No,N/A,N/A,No,N/A,,,
2019/03/07,01:49:23,Yes,N/A,2019p175883,Yes,4.2,4.33,No,N/A,,,
2019/03/07,02:11:40,No,Yes,2019p175921,Yes,4.57,4.56,No,N/A,,,"There are two overlapping events in here I have picked the first arriving wave on all stations, unable to separate out smaller event with a p around 02:12:30"
2019/03/07,02:12:30,No,Yes,2019p175921,Yes,4.57,4.56,No,N/A,,,
2019/03/07,02:16:45,No,No,N/A,No,N/A,N/A,No,N/A,,,
