"Kermadec Sequence - Locatable Events",,,,,,,,,,,,
"From 2019/03/03 00:00:00 UTC to 2019/03/13 23:59:59 UTC",,,"P - S 30 sec @ GLKS",,,,,,,,,
"Date (UTC)","Arrival time on GLKZ","Event triggered autolocation Y/N","Artificial Event created by GHA","Event ID (if applicable)","Reached Mainland",MLv,mB,"Did USGS Locate Y/N","USGS Magnitude (mww)","Max Amplitude (Z) @ GLKZ","Max Amplitude (Z) @ HAZ",Comments
2019/03/09,08:47:06,No,no,no,No,N/A,N/A,No,N/A,,,
2019/03/09,09:29:51,No,no,no,No,N/A,N/A,No,N/A,,,
2019/03/09,11:28:08,No,No,No,No,N/A,N/A,No,N/A,148237.5,N/A,
2019/03/09,12:02:00,No,Yes,2019p182434,Yes,4.02,N/A,No,N/A,155016.5,558.1,
2019/03/09,12:09:43,No,No,No,No,N/A,N/A,No,N/A,154946,611.2,
2019/03/09,13:14:40,No,Yes,2019p182571,Yes,4.04,N/A,No,N/A,215074,443,
2019/03/09,13:33:10,No,,,,,,No,N/A,,,
2019/03/09,13:53:26,No,,,,,,No,N/A,,,
2019/03/09,16:25:55,Yes,N/A,2019p182934,Yes,5.24,5.08,Y,4.9,,,
2019/03/09,16:49:44,No,,,No,,,No,N/A,,,
2019/03/09,18:08:04,No,,,,,,No,N/A,,,"A double at GLKZ, P of bigger one probably starts @18:08:35, might be better seperation on mainland"
2019/03/09,19:07:20,No,,,,,,No,N/A,,,
2019/03/09,19:13:14,No,,,,,,No,N/A,,,
2019/03/09,19:33:18,No,,,,,,No,N/A,,,
2019/03/09,20:57:40,No,,,,,,No,N/A,,,
2019/03/09,21:24:00,No,,,,,,No,N/A,,,
2019/03/10,00:10:14,No,No,N/A,No,4.16,N/A,No,N/A,,,
2019/03/10,00:52:39,No,No,N/A,No,4.01,N/A,No,N/A,,,
2019/03/10,05:34:52,No,No,N/A,No,4.09,N/A,No,N/A,,,
2019/03/10,07:50:46,No,No,N/A,No,4.05,N/A,No,N/A,,,
2019/03/10,08:02:06,No,Yes,2019p184687,Yes,3.9,4.22,No,N/A,,,
2019/03/10,11:46:52,Yes,No,2019p185111,Yes,4.77,4.61,No,N/A,,,
2019/03/10,12:19:50,No,Yes,2019p185170,Yes,4.86,4.52,No,N/A,,,
2019/03/10,12:29:32,No,No,N/A,No,4.1,N/A,No,N/A,,,
2019/03/10,13:37:30,Yes,No,2019p185319,Yes,4.16,4.59,No,N/A,,,
2019/03/10,13:40:00,,,,,,,,,,,"Slightly shorter tace may not belong to swarm "
2019/03/10,18:33:10,,,,,,,,,,,
2019/03/10,22:14:40,,,,,,,,,,,
2019/03/10,23:26:00,,,,,,,,,,,
2019/03/10,23:33:32,,,,,,,,,,,
